CIDコード,CID番号,出現回数,正しい文字,例（日本語）,備考
(cid:540),540,2,,"筋かい止めピン, 連結ピン",
(cid:544),544,5,,"三連クランプ, 自在クランプ, キャッチクランプ",
(cid:545),545,1,,三連クランプ,
(cid:559),559,1,,ランマ,
(cid:564),564,1,,キャッチクランプ,
(cid:572),572,3,,"三連クランプ, 筋かい止めピン, 連結ピン",
(cid:598),598,4,,"直交クランプ, 筋かい止めピン, モンキースパナ",
(cid:622),622,1,,電動のこ（丸のこ）,
(cid:625),625,2,,"ベルトコンベア （ベルコン）, 梯子",
(cid:630),630,1,,親綱支柱,
(cid:635),635,2,,"ベルトコンベア （ベルコン）, 筋かい止めピン",
(cid:636),636,3,,"吊り上げ用クランプ, クレーン, 移動式クレーン",
(cid:640),640,1,,親綱支柱,
(cid:645),645,2,,"三連クランプ, 連結ピン",
(cid:647),647,1,,筋かい止めピン,
(cid:671),671,4,,"三連クランプ, 筋かい止めピン, 連結ピン",
(cid:676),676,7,,"ランマ, 吊り上げ用クランプ, ストレートシャックル",
(cid:688),688,5,,"吊り上げ用クランプ, 直交クランプ, ストレートシャックル",
(cid:690),690,1,,ストレートシャックル,
(cid:693),693,1,,筋かい止めピン,
(cid:694),694,1,,レバーブロック,
(cid:698),698,1,,ストレートシャックル,
(cid:717),717,3,,"ベルトコンベア （ベルコン）, 介しゃくロープ, 親綱支柱",
(cid:719),719,1,,ストレートシャックル,
(cid:726),726,1,,ランマ,
(cid:801),801,1,,自在クランプ,
(cid:813),813,1,,モンキースパナ,
(cid:814),814,6,,"三連クランプ, 自在クランプ, キャッチクランプ",
(cid:817),817,3,,"吊り上げ用クランプ, クレーン, 移動式クレーン",
(cid:819),819,1,,かけや,
(cid:822),822,3,,"かけや, 脚柱ジョイント, 梯子",
(cid:843),843,1,,滑車,
