日本語,Page,No,pdfplumber値,PyMuPDF値,pdfplumber逆翻訳,PyMuPDF逆翻訳,pdfplumber一致,PyMuPDF一致
キャッチクランプ,19,6,ដង(cid:544)(cid:814)ំ(cid:564)ប់,ដងȠ ̮ំȴប់,回(cid:544)(cid:814)回(cid:564)回,時間はお金です。,×,×
墜落（する）,14,15,(ការ)ធ្លា កច់ ោះ,(ករា )ធា ក្លច់ ោះ,畑が刈り取られた。,(カーラ) テアは美しい女性です。,×,×
給料,3,12,គ្ាក់ណបៀវតស,គា្ ក់ណបៀវតស,本の虫,本はありません。,×,×
脚柱ジョイント,20,17,តំណេជ(cid:822)ង,តំណេជ̶ង,リンク (cid:822),リンク,×,×
火災報知機,10,12,កណតឹង្រកាសអគ្គិ្័យ,កណតឹង្រកសា អគគិ្ ័យ,火災安全,一番大切なのは、積極的に行動することです。,×,×
火気厳禁,17,3,ហាមដាច់ខាតប្រើប្លើង,ហមា បងា ត្ក់ភ្លើង,絶対に使用禁止,おい、兄弟、火をつけてくれ。,×,×
厚さ,44,10,កប្ាស,កបា្ ស,カパ,「kabas」という言葉は「バスケット」を意味します。,×,×
逃げる,10,13,រត់បគ្ច,រត់បគច្,逃げる,プログラムを実行する,○,×
幅木（仮設足場）,22,7,កាត របងំ មជើង(កខ្នលង ដ្ឋក់មជើងបមណាត ះោសនន),កតរា បងំ មជើង(កខន្ លង ដក្ឋ ់មជើងបមណតះា ោសនន),フットプリントカード（フットプリントカード）,足の足（足の,×,×
職長,12,19,អែកដឹកនាំប្កមុ,អែកដឹកនំាបក្ មុ,党首,子供を運ぶクマ,×,×
